time,z,y,x
1610357062016603100,-3.3611061573028564,-7.204180717468262,4.686283111572266
1610357062026601700,-3.2869532108306885,-7.084478378295898,4.680097579956055
1610357062036600600,-2.876750946044922,-7.137231349945068,4.523951530456543
1610357062046599200,-2.3743271827697754,-7.22285270690918,4.36707878112793
1610357062056598000,-1.8185958862304688,-7.312110424041748,4.259005069732666
1610357062066596900,-1.354757308959961,-7.295942306518555,4.163502216339111
1610357062076595500,-1.099318504333496,-7.222469329833984,3.853681802749634
1610357062086594300,-1.0429058074951172,-7.146460056304932,3.703921318054199
1610357062096593200,-2.2745938301086426,-7.492542266845703,3.886730432510376
1610357062106591700,-2.1297333240509033,-7.153131484985352,3.681915760040283
1610357062116590600,-1.8927044868469238,-6.760666370391846,3.3258681297302246
1610357062126589400,-1.5429575443267822,-6.231077671051025,2.8000669479370117
1610357062136588000,-1.2277936935424805,-5.669231414794922,2.400778293609619
1610357062146587000,-1.0168752670288086,-5.3888840675354,2.173703670501709
1610357062156585500,-1.3300395011901855,-5.2931413650512695,2.080570697784424
1610357062166584300,-1.6487855911254883,-5.295418739318848,2.202467918395996
1610357062176583000,-1.8409628868103027,-5.20117712020874,2.342951774597168
1610357062186581800,-1.9338221549987793,-5.1677446365356445,2.2446489334106445
1610357062196580400,-2.0284245014190674,-5.160380840301514,2.1172666549682617
1610357062206579200,-2.167067766189575,-5.123722076416016,2.077819347381592
1610357062216577800,-2.3291823863983154,-5.133342742919922,2.1532726287841797
1610357062226576600,-2.454761028289795,-5.204178810119629,2.225771427154541
1610357062236575200,-2.647994041442871,-5.356569766998291,2.3675575256347656
1610357062246574000,-2.8199074268341064,-5.652453422546387,2.442472457885742
1610357062256572700,-2.902859687805176,-6.068354606628418,2.4410758018493652
1610357062266571500,-2.97826886177063,-6.459682464599609,2.470224380493164
1610357062276570400,-3.101654291152954,-6.787656784057617,2.553544521331787
1610357062286569000,-3.3076462745666504,-7.0757551193237305,2.6385598182678223
1610357062296567800,-3.5448975563049316,-7.32337760925293,2.7954916954040527
1610357062306566400,-3.7266108989715576,-7.5316925048828125,2.886467933654785
1610357062316565200,-3.9261574745178223,-7.683797359466553,3.027618885040283
1610357062326564000,-4.0687785148620605,-7.802450180053711,3.1000161170959473
1610357062336562700,-4.215036869049072,-7.9055914878845215,3.2106523513793945
1610357062346561500,-4.336743354797363,-7.916455268859863,3.2892980575561523
1610357062356560400,-4.457555770874023,-7.92069673538208,3.400759696960449
1610357062366559000,-4.556591510772705,-7.926513671875,3.5083720684051514
1610357062376557800,-4.567224979400635,-7.984616756439209,3.5397026538848877
1610357062386556400,-4.597283363342285,-7.977992057800293,3.5446345806121826
1610357062396555300,-4.673321723937988,-7.998144149780273,3.4773447513580322
1610357062406554000,-4.574411392211914,-7.905239105224609,3.5921058654785156
1610357062416552700,-4.54053258895874,-7.937361717224121,3.574977397918701
1610357062426551600,-4.537896633148193,-7.986727237701416,3.524627685546875
1610357062436550100,-4.49629020690918,-8.079609870910645,3.461319923400879
1610357062446549000,-4.449504852294922,-8.108842849731445,3.4163455963134766
1610357062456547800,-4.392565727233887,-8.04890251159668,3.3902599811553955
1610357062466546400,-4.384522438049316,-7.925397872924805,3.3384344577789307
1610357062476545300,-4.353890419006348,-7.784631729125977,3.2223126888275146
1610357062486544100,-4.273492813110352,-7.63587760925293,3.0880961418151855
1610357062496542700,-4.131404876708984,-7.510339260101318,2.8733043670654297
