ACCELEROMETER X (m/sֲ²),ACCELEROMETER Y (m/sֲ²),ACCELEROMETER Z (m/sֲ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.156,9.771,0.256,0,0,0,1297,2021-01-15 19:05:56:149
-0.156,9.771,0.256,0,0,0,1310,2021-01-15 19:05:56:162
-0.156,9.771,0.256,0,0,0,1316,2021-01-15 19:05:56:168
-0.156,9.771,0.256,0,0,0,1326,2021-01-15 19:05:56:178
-0.156,9.785,0.268,0,0,0,1341,2021-01-15 19:05:56:193
-0.156,9.785,0.268,0,0,0,1348,2021-01-15 19:05:56:200
-0.156,9.785,0.268,0,0,0,1356,2021-01-15 19:05:56:208
-0.156,9.785,0.268,0,0,0,1366,2021-01-15 19:05:56:218
-0.156,9.785,0.268,0,0,0,1376,2021-01-15 19:05:56:228
-0.156,9.785,0.268,0,0,0,1386,2021-01-15 19:05:56:238
-0.172,9.79,0.287,0,0,0,1398,2021-01-15 19:05:56:250
-0.172,9.79,0.287,0,0,0,1406,2021-01-15 19:05:56:258
-0.172,9.79,0.287,0,0,0,1416,2021-01-15 19:05:56:268
-0.172,9.79,0.287,0,0,0,1427,2021-01-15 19:05:56:279
-0.172,9.79,0.287,0,0,0,1436,2021-01-15 19:05:56:288
-0.172,9.79,0.287,0,0,0,1446,2021-01-15 19:05:56:298
-0.17,9.771,0.273,0,0,0,1455,2021-01-15 19:05:56:307
-0.17,9.771,0.273,0,0,0,1466,2021-01-15 19:05:56:318
-0.17,9.771,0.273,0,0,0,1476,2021-01-15 19:05:56:328
-0.17,9.771,0.273,0,0,0,1486,2021-01-15 19:05:56:338
-0.17,9.771,0.273,0,0,0,1496,2021-01-15 19:05:56:348
-0.17,9.771,0.273,0,0,0,1513,2021-01-15 19:05:56:365
-0.151,9.769,0.268,0,0,0,1516,2021-01-15 19:05:56:368
-0.151,9.769,0.268,0,0,0,1526,2021-01-15 19:05:56:378
-0.151,9.769,0.268,0,0,0,1541,2021-01-15 19:05:56:393
-0.151,9.769,0.268,0,0,0,1548,2021-01-15 19:05:56:400
-0.151,9.769,0.268,0,0,0,1556,2021-01-15 19:05:56:408
-0.151,9.769,0.268,0,0,0,1566,2021-01-15 19:05:56:418
-0.151,9.769,0.268,0,0,0,1576,2021-01-15 19:05:56:428
-0.151,9.769,0.268,0,0,0,1586,2021-01-15 19:05:56:438
-0.158,9.788,0.268,0,0,0,1596,2021-01-15 19:05:56:448
-0.158,9.788,0.268,0,0,0,1608,2021-01-15 19:05:56:460
-0.158,9.788,0.268,0,0,0,1616,2021-01-15 19:05:56:468
-0.158,9.788,0.268,0,0,0,1627,2021-01-15 19:05:56:479
-0.158,9.788,0.268,0,0,0,1637,2021-01-15 19:05:56:489
-0.158,9.788,0.268,0,0,0,1646,2021-01-15 19:05:56:498
-0.163,9.776,0.259,0,0,0,1656,2021-01-15 19:05:56:508
-0.163,9.776,0.259,0,0,0,1666,2021-01-15 19:05:56:518
-0.163,9.776,0.259,0,0,0,1678,2021-01-15 19:05:56:530
-0.163,9.776,0.259,0,0,0,1686,2021-01-15 19:05:56:538
-0.163,9.776,0.259,0,0,0,1696,2021-01-15 19:05:56:548
-0.163,9.776,0.259,0,0,0,1706,2021-01-15 19:05:56:558
-0.163,9.776,0.278,0,0,0,1716,2021-01-15 19:05:56:568
-0.163,9.776,0.278,0,0,0,1728,2021-01-15 19:05:56:580
-0.163,9.776,0.278,0,0,0,1736,2021-01-15 19:05:56:588
-0.163,9.776,0.278,0,0,0,1746,2021-01-15 19:05:56:598
-0.163,9.776,0.278,0,0,0,1756,2021-01-15 19:05:56:608
-0.163,9.776,0.278,0,0,0,1767,2021-01-15 19:05:56:619
-0.158,9.783,0.273,0,0,0,1776,2021-01-15 19:05:56:628
-0.158,9.783,0.273,0,0,0,1787,2021-01-15 19:05:56:639
-0.158,9.783,0.273,0,0,0,1796,2021-01-15 19:05:56:648
-0.158,9.783,0.273,0,0,0,1808,2021-01-15 19:05:56:660
-0.158,9.783,0.273,0,0,0,1816,2021-01-15 19:05:56:668
-0.158,9.783,0.273,0,0,0,1829,2021-01-15 19:05:56:681
-0.156,9.769,0.278,0,0,0,1837,2021-01-15 19:05:56:689
-0.156,9.769,0.278,0,0,0,1846,2021-01-15 19:05:56:698
-0.156,9.769,0.278,0,0,0,1856,2021-01-15 19:05:56:708
-0.156,9.769,0.278,0,0,0,1866,2021-01-15 19:05:56:718
-0.156,9.769,0.278,0,0,0,1876,2021-01-15 19:05:56:728
-0.156,9.769,0.278,0,0,0,1886,2021-01-15 19:05:56:738
-0.17,9.79,0.278,0,0,0,1896,2021-01-15 19:05:56:748
-0.17,9.79,0.278,0,0,0,1907,2021-01-15 19:05:56:759
-0.17,9.79,0.278,0,0,0,1916,2021-01-15 19:05:56:768
-0.17,9.79,0.278,0,0,0,1926,2021-01-15 19:05:56:778
-0.17,9.79,0.278,0,0,0,1938,2021-01-15 19:05:56:790
-0.17,9.79,0.278,0,0,0,1946,2021-01-15 19:05:56:798
-0.146,9.778,0.263,0,0,0,1956,2021-01-15 19:05:56:808
-0.146,9.778,0.263,0,0,0,1966,2021-01-15 19:05:56:818
-0.146,9.778,0.263,0,0,0,1978,2021-01-15 19:05:56:830
-0.146,9.778,0.263,0,0,0,1987,2021-01-15 19:05:56:839
-0.146,9.778,0.263,0,0,0,1996,2021-01-15 19:05:56:848
-0.146,9.778,0.263,0,0,0,2005,2021-01-15 19:05:56:857
-0.156,9.79,0.275,0,0,0,2016,2021-01-15 19:05:56:868
-0.156,9.79,0.275,0,0,0,2028,2021-01-15 19:05:56:880
-0.156,9.79,0.275,0,0,0,2049,2021-01-15 19:05:56:901
-0.156,9.79,0.275,0,0,0,2050,2021-01-15 19:05:56:902
-0.156,9.79,0.275,0,0,0,2056,2021-01-15 19:05:56:908
-0.156,9.79,0.275,0,0,0,2066,2021-01-15 19:05:56:918
-0.158,9.778,0.275,0,0,0,2076,2021-01-15 19:05:56:928
-0.158,9.778,0.275,0,0,0,2090,2021-01-15 19:05:56:942
-0.158,9.778,0.275,0,0,0,2098,2021-01-15 19:05:56:950
-0.158,9.778,0.275,0,0,0,2106,2021-01-15 19:05:56:958
-0.158,9.778,0.275,0,0,0,2117,2021-01-15 19:05:56:969
-0.158,9.778,0.275,0,0,0,2126,2021-01-15 19:05:56:978
-0.17,9.778,0.268,0,0,0,2144,2021-01-15 19:05:56:996
-0.17,9.778,0.268,0,0,0,2147,2021-01-15 19:05:56:999
-0.17,9.778,0.268,0,0,0,2159,2021-01-15 19:05:57:011
-0.17,9.778,0.268,0,0,0,2165,2021-01-15 19:05:57:017
-0.17,9.778,0.268,0,0,0,2176,2021-01-15 19:05:57:028
-0.17,9.778,0.268,0,0,0,2189,2021-01-15 19:05:57:041
-0.17,9.778,0.268,0,0,0,2196,2021-01-15 19:05:57:048
-0.17,9.778,0.268,0,0,0,2206,2021-01-15 19:05:57:058
-0.17,9.778,0.285,0,0,0,2216,2021-01-15 19:05:57:068
-0.17,9.778,0.285,0,0,0,2230,2021-01-15 19:05:57:082
-0.17,9.778,0.285,0,0,0,2246,2021-01-15 19:05:57:098
-0.17,9.778,0.285,0,0,0,2250,2021-01-15 19:05:57:102
-0.17,9.778,0.285,0,0,0,2256,2021-01-15 19:05:57:108
-0.17,9.778,0.285,0,0,0,2266,2021-01-15 19:05:57:118
-0.153,9.766,0.29,0,0,0,2286,2021-01-15 19:05:57:138
-0.153,9.766,0.29,0,0,0,2287,2021-01-15 19:05:57:139
-0.153,9.766,0.29,0,0,0,2298,2021-01-15 19:05:57:150
-0.153,9.766,0.29,0,0,0,2306,2021-01-15 19:05:57:158
-0.153,9.766,0.29,0,0,0,2317,2021-01-15 19:05:57:169
-0.153,9.766,0.29,0,0,0,2326,2021-01-15 19:05:57:178
-0.153,9.766,0.29,0,0,0,2336,2021-01-15 19:05:57:188
-0.153,9.766,0.29,0,0,0,2346,2021-01-15 19:05:57:198
-0.16,9.797,0.266,0,0,0,2356,2021-01-15 19:05:57:208
-0.16,9.797,0.266,0,0,0,2366,2021-01-15 19:05:57:218
-0.16,9.797,0.266,0,0,0,2376,2021-01-15 19:05:57:228
-0.16,9.797,0.266,0,0,0,2386,2021-01-15 19:05:57:238
-0.16,9.797,0.266,0,0,0,2398,2021-01-15 19:05:57:250
-0.16,9.797,0.266,0,0,0,2406,2021-01-15 19:05:57:258
-0.18,9.778,0.275,0,0,0,2419,2021-01-15 19:05:57:271
-0.18,9.778,0.275,0,0,0,2426,2021-01-15 19:05:57:278
-0.18,9.778,0.275,0,0,0,2436,2021-01-15 19:05:57:288
-0.18,9.778,0.275,0,0,0,2446,2021-01-15 19:05:57:298
-0.18,9.778,0.275,0,0,0,2456,2021-01-15 19:05:57:308
-0.18,9.778,0.275,0,0,0,2467,2021-01-15 19:05:57:319
-0.168,9.785,0.266,0,0,0,2476,2021-01-15 19:05:57:328
-0.168,9.785,0.266,0,0,0,2486,2021-01-15 19:05:57:338
-0.168,9.785,0.266,0,0,0,2496,2021-01-15 19:05:57:348
-0.168,9.785,0.266,0,0,0,2506,2021-01-15 19:05:57:358
-0.168,9.785,0.266,0,0,0,2516,2021-01-15 19:05:57:368
-0.168,9.785,0.266,0,0,0,2526,2021-01-15 19:05:57:378
-0.165,9.776,0.266,0,0,0,2536,2021-01-15 19:05:57:388
-0.165,9.776,0.266,0,0,0,2546,2021-01-15 19:05:57:398
-0.165,9.776,0.266,0,0,0,2556,2021-01-15 19:05:57:408
-0.165,9.776,0.266,0,0,0,2565,2021-01-15 19:05:57:417
-0.165,9.776,0.266,0,0,0,2576,2021-01-15 19:05:57:428
-0.165,9.776,0.266,0,0,0,2586,2021-01-15 19:05:57:438
-0.168,9.778,0.268,0,0,0,2596,2021-01-15 19:05:57:448
-0.168,9.778,0.268,0,0,0,2606,2021-01-15 19:05:57:458
-0.168,9.778,0.268,0,0,0,2616,2021-01-15 19:05:57:468
-0.168,9.778,0.268,0,0,0,2626,2021-01-15 19:05:57:478
-0.168,9.778,0.268,0,0,0,2636,2021-01-15 19:05:57:488
-0.168,9.778,0.268,0,0,0,2646,2021-01-15 19:05:57:498
-0.146,9.778,0.235,0,0,0,2658,2021-01-15 19:05:57:510
-0.146,9.778,0.235,0,0,0,2666,2021-01-15 19:05:57:518
-0.146,9.778,0.235,0,0,0,2676,2021-01-15 19:05:57:528
-0.146,9.778,0.235,0,0,0,2686,2021-01-15 19:05:57:538
-0.146,9.778,0.235,0,0,0,2696,2021-01-15 19:05:57:548
-0.146,9.778,0.235,0,0,0,2706,2021-01-15 19:05:57:558
-0.17,9.773,0.266,0,0,0,2715,2021-01-15 19:05:57:567
-0.17,9.773,0.266,0,0,0,2726,2021-01-15 19:05:57:578
-0.17,9.773,0.266,0,0,0,2736,2021-01-15 19:05:57:588
-0.17,9.773,0.266,0,0,0,2746,2021-01-15 19:05:57:598
-0.17,9.773,0.266,0,0,0,2756,2021-01-15 19:05:57:608
-0.17,9.773,0.266,0,0,0,2765,2021-01-15 19:05:57:617
-0.153,9.783,0.273,0,0,0,2776,2021-01-15 19:05:57:628
-0.153,9.783,0.273,0,0,0,2786,2021-01-15 19:05:57:638
-0.153,9.783,0.273,0,0,0,2796,2021-01-15 19:05:57:648
-0.153,9.783,0.273,0,0,0,2806,2021-01-15 19:05:57:658
-0.153,9.783,0.273,0,0,0,2816,2021-01-15 19:05:57:668
-0.153,9.783,0.273,0,0,0,2826,2021-01-15 19:05:57:678
-0.168,9.783,0.266,0,0,0,2836,2021-01-15 19:05:57:688
-0.168,9.783,0.266,0,0,0,2846,2021-01-15 19:05:57:698
-0.168,9.783,0.266,0,0,0,2856,2021-01-15 19:05:57:708
-0.168,9.783,0.266,0,0,0,2866,2021-01-15 19:05:57:718
-0.168,9.783,0.266,0,0,0,2876,2021-01-15 19:05:57:728
-0.168,9.783,0.266,0,0,0,2886,2021-01-15 19:05:57:738
-0.141,9.773,0.28,0,0,0,2896,2021-01-15 19:05:57:748
-0.141,9.773,0.28,0,0,0,2906,2021-01-15 19:05:57:758
-0.141,9.773,0.28,0,0,0,2916,2021-01-15 19:05:57:768
-0.141,9.773,0.28,0,0,0,2927,2021-01-15 19:05:57:779
-0.141,9.773,0.28,0,0,0,2936,2021-01-15 19:05:57:788
-0.141,9.773,0.28,0,0,0,2946,2021-01-15 19:05:57:798
-0.17,9.778,0.28,0,0,0,2956,2021-01-15 19:05:57:808
-0.17,9.778,0.28,0,0,0,2966,2021-01-15 19:05:57:818
-0.17,9.778,0.28,0,0,0,2976,2021-01-15 19:05:57:828
-0.17,9.778,0.28,0,0,0,2986,2021-01-15 19:05:57:838
-0.17,9.778,0.28,0,0,0,2996,2021-01-15 19:05:57:848
-0.17,9.778,0.28,0,0,0,3005,2021-01-15 19:05:57:857
-0.16,9.79,0.266,0,0,0,3015,2021-01-15 19:05:57:867
-0.16,9.79,0.266,0,0,0,3026,2021-01-15 19:05:57:878
-0.16,9.79,0.266,0,0,0,3036,2021-01-15 19:05:57:888
-0.16,9.79,0.266,0,0,0,3046,2021-01-15 19:05:57:898
-0.16,9.79,0.266,0,0,0,3056,2021-01-15 19:05:57:908
-0.16,9.79,0.266,0,0,0,3066,2021-01-15 19:05:57:918
-0.136,9.776,0.268,0,0,0,3076,2021-01-15 19:05:57:928
-0.136,9.776,0.268,0,0,0,3085,2021-01-15 19:05:57:937
-0.136,9.776,0.268,0,0,0,3096,2021-01-15 19:05:57:948
-0.136,9.776,0.268,0,0,0,3106,2021-01-15 19:05:57:958
-0.136,9.776,0.268,0,0,0,3116,2021-01-15 19:05:57:968
-0.136,9.776,0.268,0,0,0,3125,2021-01-15 19:05:57:977
-0.163,9.778,0.268,0,0,0,3136,2021-01-15 19:05:57:988
-0.163,9.778,0.268,0,0,0,3146,2021-01-15 19:05:57:998
-0.163,9.778,0.268,0,0,0,3155,2021-01-15 19:05:58:007
-0.163,9.778,0.268,0,0,0,3166,2021-01-15 19:05:58:018
-0.163,9.778,0.268,0,0,0,3175,2021-01-15 19:05:58:027
-0.163,9.778,0.268,0,0,0,3186,2021-01-15 19:05:58:038
-0.153,9.771,0.273,0,0,0,3196,2021-01-15 19:05:58:048
-0.153,9.771,0.273,0,0,0,3206,2021-01-15 19:05:58:058
-0.153,9.771,0.273,0,0,0,3216,2021-01-15 19:05:58:068
-0.153,9.771,0.273,0,0,0,3226,2021-01-15 19:05:58:078
-0.153,9.771,0.273,0,0,0,3236,2021-01-15 19:05:58:088
-0.153,9.771,0.273,0,0,0,3246,2021-01-15 19:05:58:098
-0.158,9.778,0.278,0,0,0,3256,2021-01-15 19:05:58:108
-0.158,9.778,0.278,0,0,0,3266,2021-01-15 19:05:58:118
-0.158,9.778,0.278,0,0,0,3276,2021-01-15 19:05:58:128
-0.158,9.778,0.278,0,0,0,3286,2021-01-15 19:05:58:138
-0.158,9.778,0.278,0,0,0,3295,2021-01-15 19:05:58:147
-0.158,9.778,0.278,0,0,0,3306,2021-01-15 19:05:58:158
-0.172,9.778,0.273,0,0,0,3316,2021-01-15 19:05:58:168
-0.172,9.778,0.273,0,0,0,3326,2021-01-15 19:05:58:178
-0.172,9.778,0.273,0,0,0,3335,2021-01-15 19:05:58:187
-0.172,9.778,0.273,0,0,0,3345,2021-01-15 19:05:58:197
-0.172,9.778,0.273,0,0,0,3356,2021-01-15 19:05:58:208
-0.172,9.778,0.273,0,0,0,3366,2021-01-15 19:05:58:218
-0.148,9.788,0.263,0,0,0,3375,2021-01-15 19:05:58:227
-0.148,9.788,0.263,0,0,0,3386,2021-01-15 19:05:58:238
-0.148,9.788,0.263,0,0,0,3396,2021-01-15 19:05:58:248
-0.148,9.788,0.263,0,0,0,3405,2021-01-15 19:05:58:257
-0.148,9.788,0.263,0,0,0,3416,2021-01-15 19:05:58:268
-0.148,9.788,0.263,0,0,0,3425,2021-01-15 19:05:58:277
-0.148,9.769,0.259,0,0,0,3436,2021-01-15 19:05:58:288
-0.148,9.769,0.259,0,0,0,3445,2021-01-15 19:05:58:297
-0.148,9.769,0.259,0,0,0,3456,2021-01-15 19:05:58:308
-0.148,9.769,0.259,0,0,0,3466,2021-01-15 19:05:58:318
-0.148,9.769,0.259,0,0,0,3476,2021-01-15 19:05:58:328
-0.148,9.769,0.259,0,0,0,3486,2021-01-15 19:05:58:338
-0.168,9.771,0.259,0,0,0,3495,2021-01-15 19:05:58:347
-0.168,9.771,0.259,0,0,0,3506,2021-01-15 19:05:58:358
-0.168,9.771,0.259,0,0,0,3516,2021-01-15 19:05:58:368
-0.168,9.771,0.259,0,0,0,3525,2021-01-15 19:05:58:377
-0.168,9.771,0.259,0,0,0,3536,2021-01-15 19:05:58:388
-0.168,9.771,0.259,0,0,0,3546,2021-01-15 19:05:58:398
-0.16,9.759,0.268,0,0,0,3556,2021-01-15 19:05:58:408
-0.16,9.759,0.268,0,0,0,3566,2021-01-15 19:05:58:418
-0.16,9.759,0.268,0,0,0,3576,2021-01-15 19:05:58:428
-0.16,9.759,0.268,0,0,0,3586,2021-01-15 19:05:58:438
-0.16,9.759,0.268,0,0,0,3596,2021-01-15 19:05:58:448
-0.16,9.759,0.268,0,0,0,3606,2021-01-15 19:05:58:458
-0.175,9.783,0.261,0,0,0,3616,2021-01-15 19:05:58:468
-0.175,9.783,0.261,0,0,0,3626,2021-01-15 19:05:58:478
-0.175,9.783,0.261,0,0,0,3635,2021-01-15 19:05:58:487
-0.175,9.783,0.261,0,0,0,3646,2021-01-15 19:05:58:498
-0.175,9.783,0.261,0,0,0,3656,2021-01-15 19:05:58:508
-0.175,9.783,0.261,0,0,0,3665,2021-01-15 19:05:58:517
-0.148,9.771,0.256,0,0,0,3676,2021-01-15 19:05:58:528
-0.148,9.771,0.256,0,0,0,3685,2021-01-15 19:05:58:537
-0.148,9.771,0.256,0,0,0,3696,2021-01-15 19:05:58:548
